,Site,PE_S,PC (mg/mm2),Chl (mg/mm2),Pheo (mg/mm2),K_APC (mg/mm2),K_PC (mg/mm2),K_PE (mg/mm2),S_PC (mg/mm2),S_PE (mg/mm2),NDVI,PSRI,PRI,EVI,MCARI,PSND_CHLA,PSND_CHLB,PSSR_CHLA,PSSR_CHLB,PSND_494,PSSR_494,PSND_563,PSSR_563,PSND_618,PSSR_618,PSND_652,PSSR_652,AUC494,AUC563,AUC434,AUC417,AUC624,AUC665,R417,R434,R494,R563,R624,R665,d417,d434,d494,d563,d624,d665,dND_494,dSR_494,dND_563,dSR_563,dND_618,dSR_618,dND_652,dSR_652,dND_665,dSR_665,ddND_494,ddSR_494,ddND_563,ddSR_563,ddND_618,ddSR_618,ddND_652,ddSR_652,ddND_665,ddSR_665,dd417,dd434,dd494,dd563,dd624,dd665
CE01,CE,0.000303,0,4.59465,3.056849,163.441606,55.882094,121.938668,0.005346,0.00675,0.290743,0.079755,-0.008117,0.567917,0.110237,0.290743,0.211657,1.819853,1.536966,0.362559,2.137543,0.309561,1.89671,0.211663,1.536985,0.222549,1.572511,1.840235,1.47963,1.535768,1.678744,0.125213,0.333446,0.241568,0.26515,0.293414,0.33067,0.408067,0.344635,0.00106,0.002208,-0.001355,0.000937,0.000506,-0.006044,-2.663147,-0.454021,-0.207142,0.656805,0.907831,20.699385,-1.285921,-0.125079,-1.226669,-0.101797,-1.776267,-0.279608,-2.201609,-0.375314,17.153552,-1.123812,-0.692441,0.181725,-1.418598,-0.173075,0.00005,0.00021,0.000455,0.000339,0.000039,0.000734
CE01B,CE,0,0.00082,0.887749,0.493918,0,0,0,0,0,0.289068,0.049409,-0.01726,0.554885,0.109184,0.289068,0.205856,1.81321,1.518434,0.333326,1.999969,0.260197,1.703422,0.206206,1.519546,0.221259,1.568248,1.303323,0.719327,1.138639,1.322381,0.135577,0.380894,0.237307,0.244723,0.290604,0.341195,0.382762,0.320536,-0.000584,0.001734,-0.000628,0.000677,0.000419,-0.005326,-3.10856,-0.513211,-0.355214,0.475782,1.591881,-4.379059,-1.143081,-0.066764,-1.128733,-0.060474,-9.689747,-0.812905,8.985481,-1.250455,2.897251,-2.054157,-0.435162,0.393571,-1.996733,-0.332607,0.000061,0.000177,0.000307,0.0002,0.00003,0.00075
CE02,CE,0.005951,0,3.690064,6.160013,0,4.57451,66.870611,0.002294,0.016907,0.433702,0.071641,-0.001786,0.805192,0.175265,0.433702,0.334771,2.531712,2.006484,0.506562,3.053194,0.456247,2.678143,0.33309,1.998906,0.357843,2.114501,1.876133,2.400865,1.101771,0.846277,0.137353,0.491733,0.252557,0.244037,0.267492,0.304952,0.407033,0.32259,-0.001772,0.00028,-0.000721,0.00083,-0.000025,-0.00682,1.874781,-3.286288,0.481365,2.856279,1.818294,-3.444109,-2.272411,-0.38883,-2.065637,-0.347607,-1.412114,-0.170852,-1.369096,-0.155796,-8.395137,-0.787124,-0.808663,0.105789,-1.16923,-0.078014,0.000064,0.000138,0.000454,0.000498,0.000091,0.000995
CE03,CE,0.005924,0,4.911662,8.011731,5.9005,4.580943,70.764552,0.007047,0.020279,0.265047,0.096206,-0.010813,0.474892,0.084667,0.265047,0.197441,1.721263,1.492029,0.353032,2.091343,0.291193,1.821643,0.198806,1.496274,0.205481,1.517248,0.865225,1.416288,0.742674,1.293448,0.068816,0.288117,0.237195,0.250322,0.31303,0.359375,0.438767,0.380333,0.000131,0.001387,0.000126,0.000465,0.000504,-0.006201,0.783851,8.252878,0.382678,2.2398,0.66015,4.884955,-1.664157,-0.249293,-1.403426,-0.167855,-2.584286,-0.442009,-2.001991,-0.333776,3.306754,-1.867019,-0.699318,0.176943,-1.436495,-0.179149,0.000261,0.000118,0.000288,0.000382,0.000013,0.000712
CE03B,CE,0,0,4.882581,5.772359,3.91168,2.298742,16.958717,0.002654,0.003402,0.216528,0.026178,-0.023409,0.505032,0.110717,0.216528,0.157689,1.552739,1.374421,0.23428,1.61192,0.1626,1.388346,0.157566,1.374073,0.174111,1.421632,0.007001,0.019757,0.53313,1.675454,0.065617,0.240019,0.296605,0.318024,0.417507,0.484741,0.489652,0.43342,0.000664,0.00252,0.00181,0.000479,0.000254,-0.004326,-0.353568,0.477576,0.287063,1.805297,1.143439,-14.943184,-1.577157,-0.223951,-1.499352,-0.199792,0.821682,10.215897,0.40036,2.335336,3.929808,-1.682639,-0.539206,0.299371,-1.488256,-0.196224,0.00022,0.00011,-0.000013,-0.000059,-0.000029,0.0007
CE04,CE,0.000507,0,16.169264,27.136483,10.145354,7.466658,87.998646,0.007361,0.019403,0.382506,0.030676,-0.005131,0.729066,0.135995,0.382506,0.27783,2.2389,1.769429,0.422757,2.464748,0.369501,2.172091,0.275654,1.761112,0.294961,1.836724,1.388094,1.723117,1.824078,1.967702,0.25652,0.528875,0.223501,0.223248,0.261305,0.296512,0.363988,0.287664,0.000822,-0.000145,-0.000528,0.000565,-0.000026,-0.00668,2.489955,-2.342322,0.373073,2.190165,4.178988,-1.629131,-1.540655,-0.212801,-1.454428,-0.185146,-2.749352,-0.466574,-2.661103,-0.453717,5.340029,-1.460826,-0.669577,0.197908,-1.463496,-0.188146,0.000645,0.000162,0.000365,0.000376,0.000111,0.000906
GN02,GN,0.019239,0,1.932754,2.19802,17.615823,6.511653,51.85086,0.004404,0.024908,0.523481,0.000877,0.018009,0.953706,0.361107,0.523481,0.404826,3.197108,2.360359,0.548165,3.426398,0.533449,3.286781,0.393769,2.299074,0.409564,2.38733,2.126374,3.917492,2.28999,0.342951,1.60344,0.824926,0.200557,0.194604,0.197747,0.206147,0.287058,0.211929,-0.000431,-0.001272,-0.000374,0.000006,-0.001239,-0.007287,-0.153464,0.733908,1.043309,-47.179974,-0.812612,0.10338,-0.919223,0.042088,-0.927388,0.037674,-2.429566,-0.416836,-2.968627,-0.496047,-39.454272,-0.950561,-0.670296,0.197392,-1.603028,-0.231664,0.000138,0.000231,0.000559,0.00047,0.000351,0.001006
GN03,GN,0.015164,0.000122,1.523085,1.73581,0.521381,0.482437,28.689143,0.001853,0.01798,0.518601,-0.016829,0.002711,0.92352,0.318934,0.518601,0.402075,3.154556,2.344903,0.518264,3.151651,0.47779,2.829879,0.392767,2.29363,0.416002,2.424671,1.339233,2.237793,1.685207,1.921949,1.230591,0.741124,0.20921,0.19545,0.206323,0.229783,0.277307,0.206133,-0.001718,-0.00093,0.000414,0.000015,-0.001132,-0.0063,-0.895718,0.055009,0.207066,1.522277,-1.020962,-0.010372,-1.00795,-0.003959,-1.007261,-0.003618,-2.38033,-0.408342,-3.210339,-0.524979,-8.374277,-0.78665,-0.72416,0.159985,-1.406636,-0.168964,0.000179,0.000228,0.000372,0.000289,0.000247,0.000899
GN04,GN,0.033692,0.000222,1.897738,2.425624,2.313272,1.801314,66.516845,0.004181,0.039901,0.503848,0.01233,0.023056,0.863973,0.288681,0.503848,0.389704,3.03102,2.277101,0.538996,3.338355,0.534902,3.300165,0.379078,2.221016,0.395595,2.309039,2.365872,4.434479,1.91885,0.572765,1.454178,0.735037,0.201061,0.192816,0.183547,0.185671,0.26909,0.202158,-0.000987,-0.001172,-0.000761,0.000131,-0.001105,-0.006741,-1.058773,-0.028548,-0.716093,0.165438,-1.018445,-0.009138,-1.007899,-0.003934,-1.006467,-0.003223,-1.847942,-0.297738,-1.984425,-0.329854,-8.173989,-0.781992,-0.718139,0.16405,-1.47068,-0.190506,0.000107,0.000187,0.000557,0.000503,0.000312,0.000871
GN05,GN,0.032587,0.000078,2.432997,3.325927,1.964448,1.820715,70.242966,0.003764,0.039361,0.394601,0.068224,-0.003824,0.673476,0.198262,0.394601,0.306759,2.303608,1.885,0.488038,2.906537,0.440094,2.572028,0.299936,1.85688,0.31066,1.901325,1.615086,3.196311,1.070157,1.252939,0.895007,0.445903,0.213616,0.220786,0.250099,0.282626,0.385635,0.315558,-0.00019,0.001054,0.00007,0.000664,-0.000704,-0.007311,0.610218,4.131073,-0.392398,0.43637,-1.331385,-0.142141,-1.103099,-0.049022,-1.082585,-0.039655,-1.930993,-0.317637,-1.79067,-0.283326,-14.566974,-0.871523,-0.713979,0.166876,-1.521764,-0.206904,0.000127,0.000084,0.00055,0.000617,0.000297,0.000845
